IWZ9ZZC6,SNSD
IWZAIIW7,5 Seconds Of Summer
IWZ9ZEWA,The Script
IWZ9CE0A,Fifth Harmony
707584ae-9aa5-11e5-98be-001eecc1ca2a,Alice Wonderland
70886506-9aa5-11e5-9961-001eecc1ca2a,Wayne Coyne
70eba666-9aa5-11e5-85a6-001eecc1ca2a,Watermat
7158ca94-9aa5-11e5-944d-001eecc1ca2a,Klingande
71817b22-9aa5-11e5-80eb-001eecc1ca2a,Broken Back
721a1fd4-9aa5-11e5-8ad9-001eecc1ca2a,Hayden James
728651fa-9aa5-11e5-8d6a-001eecc1ca2a,Timmy Trumpet
IWZ9ZO9I,Chris Brown
IWZ96A8F,Tyga
IWZ9CAB8,Tinashe
IWZ9CB97,Schoolboy Q
IWZ986B8,Carly Rae Jepsen
IWZ97ECW,One Direction
IWZ9AU9U,Daniel Johns
IWZ97OZ9,Florence + The Machine
IWZ9D8I8,Vance Joy
IWZ9D67E,Sam Smith
IWZ9ZOCZ,Justin Bieber
806abd18-9aa5-11e5-8f31-001eecc1ca2a,Monty
8123f552-9aa5-11e5-9527-001eecc1ca2a,Nhiều nghệ sĩ
IWZAWFD9,J Balvin
IWZ99A9C,Iggy Azalea
IWZ9ZODC,Ludacris
IWZ9ZD0Z,Nicki Minaj
IWZ970UF,Jaden Smith
IWZAZ6WB,Halsey
IWZ96B6A,Jamie Foxx
IWZ96IF0,Dixie Chicks
IWZAZE60,Alessia Cara
IWZ9Z0C7,Beyoncé
IWZ9Z9DF,Maroon 5
966c7efe-9aa5-11e5-8d34-001eecc1ca2a,Gavin James
IWZ9ZOO6,Kanye West
IWZ98UW6,Lana Del Rey
IWZAWWOA,Hozier
IWZ9ZD0C,Lê Cát Trọng Lý
IWZ9ZBZD,Norah Jones
IWZ9ZOC8,Kelly Clarkson
IWZ98796,The Weeknd
IWZAI976,MAGIC!
IWZ96IFA,Ellie Goulding
IWZAUCIE,Natalie La Rose
IWZAOF7A,Seinabo Sey
IWZ9AF0B,Benjamin Francis Leftwich
IWZ9Z09U,Adele
IWZ9COZW,Rudimental
IWZ96DEI,Wiz Khalifa
IWZAUC9B,Charlie Puth
IWZ9ZDFU,Pharrell Williams
IWZ97ZZC,Hoàng Tôn
b565df46-9aa5-11e5-975a-001eecc1ca2a,X Ambassadors
IWZAZDBI,@iHeartMemphis
IWZ9EB7Z,Thomas Rhett
IWZ96BI7,Drake
IWZA60WO,Elle King
b9306490-9aa5-11e5-aa20-001eecc1ca2a,Marlon Roudette
IWZ96F6O,Karik
ba3fb666-9aa5-11e5-b425-001eecc1ca2a,P.A.K
baa7fba4-9aa5-11e5-b49b-001eecc1ca2a,Our Last Night
IWZ9868W,Cẩm Vân Phạm
IWZ9866B,TMT
IWZ96UZD,Stratovarius
bf09ccc6-9aa5-11e5-bbbe-001eecc1ca2a,Clean Bandit
IWZA0E8C,Jess Glynne
IWZ96I8F,Benny Benassi
IWZ97E0Z,Shanell
IWZ9A7UE,Imagine Dragons
IWZAIIZ7,George Ezra
IWZ98I89,Naughty Boy
IWZ9ZO60,Ke$ha
IWZ9Z8ZI,Jethro Tull
IWZ98DID,Rita Ora
IWZ9CC9E,Pentatonix
IWZ99ID9,Becky G
IWZAWEUI,Cashmere Cat
IWZAO9DC,Dawin
IWZ9CEFC,Family Of The Year
IWZ990FF,Madcon
cd08198a-9aa5-11e5-ab36-001eecc1ca2a,Ray Dalton
IWZ9ZFI7,Sting
IWZ98I0E,Quái Vật Tí Hon
IWZ96C8O,Uyên Linh
IWZAZOC7,Jarryd James
IWZAOZZW,Fame Chí Thành
IWZ976C7,Châu Khải Phong
IWZAZDFZ,Oh Wonder
IWZ9ZOF9,Quang Linh
d967b87e-9aa5-11e5-9f67-001eecc1ca2a,Powers
IWZ9CZ7B,Twenty One Pilots
IWZ9CE0E,Timeflies
IWZA0AI0,Yến Lê
IWZAO6EF,Khói
IWZ9A76I,Phạm Hồng Phước
IWZAZCC6,Suni Hạ Linh
IWZ99EFU,Hoàng Như Ngọc
IWZ97EBI,Tuấn Vỹ
IWZAWAUU,Như Hexi
IWZ9ZDBU,Omarion
IWZAZBOB,Milky Chance
IWZ9BAB9,Lilly Wood And The Prick
IWZ9ZZA8,Jennifer Lopez
IWZAZI6E,Matoma
IWZ9Z0D8,Adam Levine
IWZAZ0BZ,Broiler
IWZAZIUZ,Omi
IWZAO87B,Eden xo
IWZ9Z7F8,Yiruma
IWZ9ZCZZ,Nelly
IWZ98ECE,DJ Pauly D
IWZ96W99,Jay Sean
IWZ9ZBI8,Simple Plan
IWZ9ZO96,Miley Cyrus
04e3af90-9aa6-11e5-81cf-001eecc1ca2a,Sirah
IWZA6IA8,Daya
IWZ9AO7W,Major Lazer
IWZ9AFZ7,Tarrus Riley
085d3b4a-9aa6-11e5-95a9-001eecc1ca2a,Years & Years
IWZ9ZB76,Khắc Việt
IWZ9ZWAO,Infinite
IWZ98Z00,Tiggy
IWZ9Z9Z8,Modern Talking
IWZ9ZDD6,Paul Anka
IWZ9ZAWO,Lionel Richie
IWZ96O97,Mr. President
IWZ9Z0C6,Britney Spears
IWZ9A7OU,Diana King
IWZ98BD6,The Proclaimers
IWZ9ZUD7,Vĩnh Thuyên Kim
IWZ96OFZ,Secondhand Serenade
IWZ9ZOFF,Đặng Tử Kỳ
IWZ9666Z,Zac Brown Band
IWZ9Z9A7,M
IWZ9ZIWI,98 Degrees
IWZ9ZZAD,JoJo
IWZ9ZWAA,Quang Dũng
IWZ9BCCC,Descemer Bueno
4e754e5c-9aa6-11e5-8b85-001eecc1ca2a,Gente De Zona
IWZ9Z78D,The Goo Goo Dolls
IWZ9ZII7,3 Doors Down
IWZ9ZCZF,Snow Patrol
IWZ9Z9UZ,Mandy Moore
IWZ96C7B,Zachary Levi
IWZ96ZUD,Whitney Houston
578c1822-9aa6-11e5-8b7c-001eecc1ca2a,Mr. Big
IWZ9ZUAA,Bon Jovi
IWZ9ZBWA,Scorpions
IWZ9ZBWB,The Verve
IWZ96W6B,Groove Coverage
IWZ9ZEIZ,The Offspring
6084c226-9aa6-11e5-ba78-001eecc1ca2a,The All-American Rejects
IWZ9ZEO9,Three Days Grace
IWZ9ZBFA,Moby
IWZ96O0O,The Calling
IWZ9ZU7B,Lệ Thu
IWZ9ZDZ8,No Doubt
IWZ96U9A,The Wanted
656e4fe6-9aa6-11e5-b7cf-001eecc1ca2a,B.o.B
IWZ97ZWF,Rainbow
IWZ99099,Chi Dân
IWZ98OD0,JUNIEL
IWZA608E,Cam
IWZ96EZE,Charice
IWZ989B6,Lương Gia Hùng
IWZ98IZW,Cao Tùng Anh
IWZ9666B,Hole
IWZ96F87,Bé Bảo An
IWZ980E7,Bé Bào Ngư
IWZ9ZD0O,Duy Uyên
IWZ98I76,Nguyệt Anh
IWZ9Z09F,Bức Tường
IWZ9ZFOC,Rem
IWZ96OFU,Seal
IWZ96DBI,George Benson
IWZ966AU,Bee Gees
IWZ960C9,Roxette
IWZ98ZCZ,DJ Blend
IWZ97EEB,Minh Beta
IWZ9ZADI,Luther Vandross
IWZ9Z0A7,Madonna
IWZ9ZZ8W,KOKIA
IWZ966W0,Trần Hoàng Anh
IWZ96C8Z,Trung Quân Idol
IWZAUFF8,DJ Long Nguyễn
IWZ98OB9,Little Mix
IWZ988O0,Steelheart
IWZ9Z7A7,Helloween
IWZ9ZFB6,Lê Anh
IWZ9ZFB7,Thu Ba
IWZ9A6F0,Deacon Blue
IWZ9ZD96,Quốc Thiên
IWZ96OZ6,Will Smith
IWZ9ZIAE,Anh Kiệt
IWZ9ZWI8,Ưng Hoàng Phúc
IWZ97IDO,Minh Huy
IWZ9BEIA,Sơn Ngọc Minh
IWZ9EE08,Hari Won
IWZ9ZCUZ,Ne-Yo
IWZ9ZCOB,Natasha Bedingfield
IWZ96W9D,Jessica Simpson
IWZ9ZOCA,Leona Lewis
IWZ9ZUB9,Boyz II Men
IWZ9ZA66,Michael Bublé
IWZ96I9C,Blue
IWZ96OB6,'N Sync
IWZ9ZIAF,Anh Thơ
IWZAOU0B,Trương Bích Thần
IWZ9ZA66,Michael Bublé
IWZ96FZE,JustaTee
IWZ997CU,Soobin Hoàng Sơn
IWZ9Z6FB,Fergie
IWZ9ZOI9,Ace Of Base
IWZ999IZ,USA for Africa
IWZ9ZWUI,Lý Hải
IWZ96I8U,Bandari
IWZ9ZI77,Lưu Hương Giang
IWZ9Z7WI,Eric Clapton
IWZ9ZFO8,Red Hot Chili Peppers
IWZ96B9E,Hà Okio
IWZ998FO,Francis Goya
IWZ970D6,Heart
IWZ96IEA,Diana Ross
IWZ96WE9,Jessica
IWZ97O80,Key
IWZ9ZUBF,Take That
IWZ9ZCDI,Sugar Ray
IWZ9Z689,Def Leppard
IWZ9Z9ZF,Kobukuro
IWZ97C7E,Smile.DK
IWZ97C7E,Smile.DK
IWZ9ZUZ6,Billy Joel
IWZ96U0D,Sixpence None The Richer
IWZ9Z7FC,Janet Jackson
IWZ98A9C,Editors
IWZ9ZO6E,Aretha Franklin
IWZAICDW,Terry Winstanley
IWZ99DCB,Solid Base
IWZ99A6U,Los Del Mar
IWZAU7WB,BØrns
IWZ9ZB8U,Kim Tiểu Phương
IWZ97UE9,Nhạc Không Lời
IWZ970DC,Beethoven
512c51d8-9aa7-11e5-a311-001eecc1ca2a,BORNS
579835a4-9aa7-11e5-ad90-001eecc1ca2a,Lunchmoney Lewis
IWZAZF0O,DNCE
5e63a18c-9aa7-11e5-b923-001eecc1ca2a,Arrow Benjamin
622f6594-9aa7-11e5-87cb-001eecc1ca2a,Lukas Graham
IWZ9ZZ6O,Gwen Stefani
IWZAZBOZ,Sam Feldt
655034c8-9aa7-11e5-97d6-001eecc1ca2a,Kimberly Anne
IWZ9D09F,MKTO
IWZ99WE8,Midnight Red
IWZ9BEWF,Nikki Williams
6d138890-9aa7-11e5-a78a-001eecc1ca2a,Anna Kendrick
IWZ96W98,Jason Derulo
IWZ9ZZ0B,Calvin Harris
IWZ96WBI,Labrinth
IWZ98I88,Emeli Sandé
IWZ978AW,Miguel
IWZ9Z9Z9,Maria Mena
IWZ9ZEO6,The Veronicas
76e710d8-9aa7-11e5-99aa-001eecc1ca2a,Aly & AJ
IWZ9Z6CU,Dolores O'Riordan
IWZ9Z0A6,Quang Vinh
IWZ9ZWZI,Bảo Thy
IWZ96ZU0,Darin
IWZ9ZE07,Pink
IWZ9ZBDI,Jimmii Nguyễn
IWZ9ZOCU,Katy Perry
IWZ9ZOI8,Justin Timberlake
IWZ9ZCCZ,Secret Garden
IWZ9Z0AU,Rihanna
IWZ98BBB,Passenger
IWZ97I0U,Tyler Ward
IWZ98Z0Z,Kurt Schneider
IWZ9ZZEZ,Craig David
IWZ9A6AB,Nate Ruess
IWZ98B96,Kid Ink
b752ce8a-9aa7-11e5-8bc7-001eecc1ca2a,I LOVE MAKONNEN
IWZ9CZWO,Soyou (Sistar)
IWZ986BU,Junggigo
IWZ97AIC,Cher Lloyd
IWZ9ZCF9,Nick Jonas
IWZAOC69,Jasmine Thompson
IWZAZ7BD,Felix Jaehn
IWZ9EBIE,Sheppard
IWZ96W98,Jason Derulo
IWZ96W98,Jason Derulo
IWZ96W98,Jason Derulo
IWZAIB8U,Rixton
IWZ97DIO,Zendaya
dcd17dc0-9aa7-11e5-be92-001eecc1ca2a,Yutaka Yamada
IWZAIF6O,Naoki Sato
IWZAWC8O,Minho (WINNER)
e96bab36-9aa7-11e5-8298-001eecc1ca2a,B.I & Bobby
IWZ96EA0,Verbal Jint
IWZ99IWD,Crush
IWZ97F9O,Haha
IWZ9A08W,Kwang Hee
IWZ96UEZ,Gary
f5744198-9aa7-11e5-8935-001eecc1ca2a,Miwoo
IWZ9ZWO8,CNBlue
IWZ98A9F,Ailee
fa36593e-9aa7-11e5-8928-001eecc1ca2a,hyukoh
fd3c0e82-9aa7-11e5-89b9-001eecc1ca2a,Chen (Exo)
IWZ98Z8B,EXO-K
IWZAZIB8,Baekhyun (EXO)
IWZ960F7,Park Jin Young
IWZ96ZA9,San E
IWZ9BEC0,Yerin Baek
IWZ9ZC96,The Men
IWZ986Z9,Nukan Trần Tùng Anh
IWZ9Z87W,Thùy Chi
IWZ9ZW8Z,Phương Thanh
IWZ9ZB99,M4U
IWZ98BWO,Tạ Quang Thắng
IWZ9ZW6E,Thủy Tiên
IWZ9708Z,Bùi Anh Tuấn
IWZ96IAC,Miu Lê
IWZ96BBZ,Thanh Tâm (Tâm Tít)
IWZ9ZCCC,Trương Quỳnh Anh
IWZAID6C,Trương Tâm Nhi
IWZ9ZCD8,Việt My
IWZ96C6W,Hải Băng
IWZ997CC,Hương Tràm
IWZ9CUWA,Hương Giang Idol
IWZ9ZCA6,Thu Thủy
IWZ968FZ,Mai Fin
IWZ97WCI,Anh Trường
IWZ9660W,Thúy Khanh
3549367e-9aa8-11e5-a339-001eecc1ca2a,TYU
IWZ9BBFE,Lyna Thùy Linh
IWZ9D7EI,Gia Ly
IWZAOAIC,Tiên Tiên
IWZ96DW0,Phạm Toàn Thắng
IWZ96E79,Nguyễn Hải Phong
IWZ9ZC9U,Thảo Trang
IWZ96U0F,Emily
IWZ9DWOA,Đoàn Thúy Trang
IWZ977E7,BigDaddy
IWZAOWB6,Huy Nam (A#)
IWZA0OWC,Min (St.319)
IWZA0BC8,Mờ Naive
IWZ97UI6,Mr A
IWZAZ070,Vizza
4a703670-9aa8-11e5-aab2-001eecc1ca2a,Erik of St.Trainees
IWZ9E99D,Mew Amazing
IWZ9866W,Gizmo
4bf8f8b8-9aa8-11e5-9028-001eecc1ca2a,Vilo
IWZ9CWU6,Mi Trần
IWZ9EBZC,Zara Larsson
IWZA0WWU,MNEK
IWZ98Z6W,Fun.
IWZ96W96,Janelle Monáe
6a04af34-9aa8-11e5-b2a7-001eecc1ca2a,Iro
IWZ9F0DZ,YunjBoo
IWZ9EWC7,Quân Đao
IWZ9ZCFA,Ông Cao Thắng
IWZ9ZD8A,Trịnh Thăng Bình
IWZ97IWZ,LK
IWZ9ZIZ6,Lam Trường
IWZ9AE6A,Phương Bảo
6f67bf86-9aa8-11e5-880a-001eecc1ca2a,Thomas Jack
6fdd1568-9aa8-11e5-b1b5-001eecc1ca2a,Nicole Millar
70524712-9aa8-11e5-8667-001eecc1ca2a,Missio
716148dc-9aa8-11e5-ae54-001eecc1ca2a,Syn Cole
IWZ9ZCEW,Vũ Duy Khánh
IWZ9ZC8U,Kimmese
IWZ98DBD,A$AP Rocky
IWZ96DA7,Kaskade
7a043862-9aa8-11e5-a5e2-001eecc1ca2a,Ilsey
IWZ99ODC,Deniz Koyu
IWZ99UUZ,Audien
IWZ9Z6D8,Lady Antebellum
IWZAIWD7,The Chainsmokers
IWZAZEZD,Waterbed
IWZ99987,Diplo
7f216aba-9aa8-11e5-98d9-001eecc1ca2a,Sleepy Tom
IWZAZE8D,Headhunterz
7fc0b4ec-9aa8-11e5-ab6f-001eecc1ca2a,Crystal Lake
IWZA000D,Bebe Rexha
834c0914-9aa8-11e5-8d7d-001eecc1ca2a,Sonny Alven
IWZ9EF7A,Ahrix
IWZ99OED,Dannic
IWZAO0ZZ,Sick Individuals
IWZ96A6B,Axwell
IWZ990FD,Ingrosso
IWZ98Z7W,Skrillex
IWZ9Z86F,Tiesto
IWZAZ6OI,Oliver Heldens
IWZ9DOIU,Don Diablo
8a5da718-9aa8-11e5-9100-001eecc1ca2a,Khrebto
8ab94be8-9aa8-11e5-af42-001eecc1ca2a,Travis Mills
IWZ96A6F,T.I.
IWZ9Z0CE,Trương Quốc Vinh
IWZ9ZW98,Hàn Thái Tú
IWZ9ZIBW,Bằng Kiều
IWZ96IDA,Damien Rice
IWZ9ZOWF,Ann Wilson
IWZA6I07,Filous
921a93e2-9aa8-11e5-9265-001eecc1ca2a,James Hersey
IWZ9B9CZ,Noonie Bao
IWZ9ZOUU,Snoop Dogg
IWZ977UW,Bad Meets Evil
IWZ9Z6DF,Dr. Dre
9b6675e2-9aa8-11e5-b083-001eecc1ca2a,Julie Bergan
IWZ96A99,Armin van Buuren
IWZA6OU8,Cimo Frankel
IWZ98UA9,Vũ Cát Tường
IWZ9ZW68,Trần Thu Hà
IWZ9ZU0U,Thu Phương
IWZ9ZOZ7,Đoan Trang
IWZ9ZZB6,Hoàng Thùy Linh
IWZ98OF8,Trấn Thành
IWZ9ZWUZ,Minh Hằng
IWZ9Z98E,Khổng Tú Quỳnh
IWZ9ZCEU,Vy Oanh
IWZ9ZI7I,Khởi My
IWZ97ZAI,Duy Anh
IWZ96Z8C,Tim
IWZ9DUZ0,Hoàng Yến Chibi
IWZ97CA7,Thái Tuyết Trâm
IWZ9ZW6B,Vân Quỳnh
IWZ98OBB,Phú Luân
IWZ97WAZ,Dương Hoàng Yến
IWZAZ96Z,Hàn Khởi
IWZAID9O,Avatar Boys
ccc472b8-9aa8-11e5-8ff2-001eecc1ca2a,DJ Bác Sĩ Hải
IWZAZEFU,Christopher Wong
cf2ca38a-9aa8-11e5-b517-001eecc1ca2a,Garrett Crosby
IWZAZEF6,Ngọc Hiển
IWZA6IIF,Đoàn Nhược Quý
IWZ9ZBUD,Đinh Tiến Đạt (Mr Dee)
d4e79236-9aa8-11e5-a123-001eecc1ca2a,Tiến Luật
IWZ9ZDWE,Thu Trang
IWZ96DWO,Lưu Quang Anh
IWZ9D087,Chi Pu
IWZ98609,Mr. Siro
IWZA0CI7,Phạm Hoàng Duy
IWZ9ZCFU,Yến Nhi
IWZ97OAD,Tonny Việt
IWZAIO80,Bình Minh Vũ
IWZ9ZFA7,Minh Vương M4U
IWZ9ZBUC,Quang Hà
IWZ9ZOC0,Tuấn Hưng
IWZ9Z8BW,Nam Cường
